,name,categories,latitude,longitude,address,country,cross_street,formatted_address,locality,postcode,region,address_extended,po_box,fsq_id
0,RBC Royal Bank,ATM,49.27428,-123.121281,1196 Pacific Blvd,CA,at Davie St,"1196 Pacific Blvd (at Davie St), Vancouver BC V6Z 2X7",Vancouver,V6Z 2X7,BC,,,4ad7bccff964a520480e21e3
1,President's Choice Financial ATM,ATM,49.263701,-123.123541,885 Broadway W,CA,,"885 Broadway W, Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,,,4457ba614549443065ad74cc
2,President's Choice Financial ATM,ATM,49.263701,-123.123541,885 Broadway W,CA,,"885 Broadway W, Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,,,5cf531ed35811b002c5c7ed9
3,TD Canada Trust ATM,ATM,49.260462,-123.100718,5900 Westminster Hwy,CA,,"5900 Westminster Hwy, Vancouver BC V7C 1C4",Vancouver,V7C 1C4,BC,,,5bbd6e6fdff815002ca324cb
4,RBC Royal Bank,ATM,49.285305,-123.11346,685 Hastings St W,CA,Granville St,"685 Hastings St W (Granville St), Vancouver BC V6B 1N9",Vancouver,V6B 1N9,BC,,,4bc376d52a89ef3bd410f588
5,President's Choice Financial ATM,ATM,49.262438,-123.097074,370 Broadway E,CA,,"370 Broadway E, Vancouver BC V5T 4G5",Vancouver,V5T 4G5,BC,,,5cf531aa3fcee8002c55417f
6,TD Bank Financial Group,ATM,49.233923,-123.116623,511 41st Ave W,CA,at Cambie St,"511 41st Ave W (at Cambie St), Vancouver BC V5Z 2M7",Vancouver,V5Z 2M7,BC,,,4b52625bf964a520aa7a27e3
7,President's Choice Financial ATM,ATM,49.260021,-123.138392,2888 Granville St,CA,,"2888 Granville St, Vancouver BC V6H 3J5",Vancouver,V6H 3J5,BC,,,5cf530c59de23b002c3c5d7e
8,Cibc ATM,ATM,49.270498,-123.136612,1550 Granville St,CA,Under The Bridge Facing Entrance To Kids Market,"1550 Granville St (Under The Bridge Facing Entrance To Kids Market), Vancouver BC",Vancouver,,BC,,,50bbe5d5e4b060d019864402
9,Valiant Trust Co,ATM,49.278567,-123.113778,750 Cambie St,CA,,"750 Cambie St, Vancouver BC V6B 0A2",Vancouver,V6B 0A2,BC,# 600,,469c663e8c9c4d7552675576
10,Localcoin Bitcoin ATM - Davie Smoke & Bongs,ATM,49.2781,-123.127285,813 Davie St,CA,,"813 Davie St, Vancouver BC V6Z 1B7",Vancouver,V6Z 1B7,BC,,,c21600c79d25d1e6ce592d14
11,President's Choice Financial ATM,ATM,49.26345,-123.144605,1780 Broadway W,CA,,"1780 Broadway W, Vancouver BC V6J 1Y1",Vancouver,V6J 1Y1,BC,,,5cfe224dbfc6d0002cf2ca69
12,CoinFlip Bitcoin ATM,ATM,49.263501,-123.14615,1808 W Broadway,CA,,"1808 W Broadway, Vancouver BC V6J 3J5",Vancouver,V6J 3J5,BC,,,99cfd7352e200b8955b8524f
13,Atm Travel Group Ltd,ATM,49.282525,-123.111195,1255 Pender St W,CA,,"1255 Pender St W, Vancouver BC V6E 2V1",Vancouver,V6E 2V1,BC,,,a47a72a6847a4fea6b4652c0
14,Localcoin Bitcoin ATM - Main Mini Mart,ATM,49.282491,-123.099915,249 Main St,CA,,"249 Main St, Vancouver BC V6A 2S7",Vancouver,V6A 2S7,BC,,,937ddde501d349390c46271a
15,TD Bank Financial Group,ATM,49.248696,-123.12518,900 King Edward Ave W,CA,at Oak St.,"900 King Edward Ave W (at Oak St.), Vancouver BC V5Z 2E2",Vancouver,V5Z 2E2,BC,,,4c5dcf7794fd0f478193cc45
16,E-Cash Services Inc,ATM,49.28478,-123.115362,700 Pender St W,CA,,"700 Pender St W, Vancouver BC V6C 1G8",Vancouver,V6C 1G8,BC,# 501,,4a5c9e7855ca4b84c2e93faa
17,Private Banking 1859,ATM,49.284817,-123.123316,1076 Alberni St,CA,,"1076 Alberni St, Vancouver BC V6E 1A3",Vancouver,V6E 1A3,BC,Suite 201,,5847181b88cfcc5ae029d42d
18,National Bank Financial - Wealth Management,ATM,49.285655,-123.115761,475 Howe St,CA,,"475 Howe St, Vancouver BC V6C 2B3",Vancouver,V6C 2B3,BC,Suite 3000,,4c26271e5c5ca593aa8f45fe
19,Home Trust Co,ATM,49.285763,-123.11285,200 Granville St,CA,,"200 Granville St, Vancouver BC V6C 1S4",Vancouver,V6C 1S4,BC,# 1288,,d37ecf64f26648b8be1c0bea
20,Northstar Trade Finance,ATM,49.286016,-123.119443,595 Burrard St,CA,,"595 Burrard St, Vancouver BC V6C 0E4",Vancouver,V6C 0E4,BC,# 833,PO Box 49058,22af871809de44b559acbf56
21,Localcoin Bitcoin ATM - Easy Day Store,ATM,49.250805,-123.077755,1310 Kingsway,CA,,"1310 Kingsway, Vancouver BC V5V 3E4",Vancouver,V5V 3E4,BC,,,554f45434171b600f8dee08a
22,TD Bank Financial Group,ATM,49.263588,-123.122639,805 W Broadway Van,CA,at Willow,"805 W Broadway Van (at Willow), Vancouver BC V5T 1Y2",Vancouver,V5T 1Y2,BC,,,4b672756f964a520263e2be3
23,Highland West Capital Ltd,ATM,49.287019,-123.116121,999 Hastings St W,CA,,"999 Hastings St W, Vancouver BC V6C 2W2",Vancouver,V6C 2W2,BC,# 1508,,8f191de4de7c412d8c371a64
24,Global Access Capital Corp,ATM,49.288173,-123.112886,404A 999 Canada Pl,CA,,"404A 999 Canada Pl, Vancouver BC V6C 3E1",Vancouver,V6C 3E1,BC,Suite 8,,fd6958caf35e4df957edd369
25,RBC Royal Bank,ATM,49.26937,-123.069918,1715 Commercial Dr,CA,1st Avenue,"1715 Commercial Dr (1st Avenue), Vancouver BC V5N 4A4",Vancouver,V5N 4A4,BC,,,4b57b173f964a5203b3c28e3
26,President's Choice Financial ATM,ATM,49.262557,-123.068611,1755 Broadway E,CA,,"1755 Broadway E, Vancouver BC V5N 1W2",Vancouver,V5N 1W2,BC,,,5cf52e5f3731ee002be73610
27,TD Bank Financial Group,ATM,49.254808,-123.101616,3373 Main St,CA,,"3373 Main St, Vancouver BC V5V 0B7",Vancouver,V5V 0B7,BC,,,4f3022b1e4b0d411bdd56cde
28,TD Canada Trust ABM,ATM,49.287983,-123.134944,Cardero St,CA,at Davie St.,"Cardero St (at Davie St.), Vancouver BC",Vancouver,,BC,,,4c53a06630f92d7f9cbd16b9
29,Oaktar Holdings Ltd,ATM,49.253086,-123.068215,3531 Commercial St,CA,,"3531 Commercial St, Vancouver BC V5N 4E8",Vancouver,V5N 4E8,BC,,,109076c9e7c64a4a9d63332a
30,RBC Royal Bank,ATM,49.284848,-123.121209,1025 Georgia St W,CA,in Royal Centre Mall,"1025 Georgia St W (in Royal Centre Mall), Vancouver BC V6E 3N9",Vancouver,V6E 3N9,BC,,,4bd21b9e77b29c7423028e82
31,Vancity - ATM,ATM,49.261098,-123.065648,2610 Victoria Dr,CA,,"2610 Victoria Dr, Vancouver BC V5N 4L2",Vancouver,V5N 4L2,BC,ISS Welcome Centre,,c04e7a6e628045c9898ef8e4
32,TD Bank Financial Group,ATM,49.281311,-123.054863,2497 Hastings St E,CA,,"2497 Hastings St E, Vancouver BC V5K 1Y8",Vancouver,V5K 1Y8,BC,,,4af252dbf964a52064e721e3
33,Bitcoin Depot ATM,ATM,49.287231,-123.141288,1184 Denman St,CA,,"1184 Denman St, Vancouver BC V6G 2M9",Vancouver,V6G 2M9,BC,# 101,,5faf20d4cfa17d0ee6fe6db1
34,Localcoin Bitcoin ATM - Food Stop,ATM,49.276419,-123.069947,901 Commercial Dr,CA,,"901 Commercial Dr, Vancouver BC V5L 3W8",Vancouver,V5L 3W8,BC,,,e446713f86c3feb3f045df6d
35,TD Bank Financial Group,ATM,49.2886,-123.121367,1177 West Hastings,CA,Thurlow Street,"1177 West Hastings (Thurlow Street), Vancouver BC V6E 2K3",Vancouver,V6E 2K3,BC,# 168,,5282a10411d2d49a319bf617
36,RBC Royal Bank,ATM,49.250504,-123.127767,3935 Oak St,CA,at Laurier Ave,"3935 Oak St (at Laurier Ave), Vancouver BC V6H 2M7",Vancouver,V6H 2M7,BC,,,4abc3b93f964a520db8620e3
37,Localcoin Bitcoin ATM - Viti Wine and Lager,ATM,49.262853,-123.056223,2410 Nanaimo St,CA,,"2410 Nanaimo St, Vancouver BC V5N 5E4",Vancouver,V5N 5E4,BC,,,29e162818287f6a96018116d
38,TD Bank Financial Group,ATM,49.249588,-123.075543,1435 Cedar Cottage Mews,CA,btwn Knight & Dumfries St.,"1435 Cedar Cottage Mews (btwn Knight & Dumfries St.), Vancouver BC V5N 5Z2",Vancouver,V5N 5Z2,BC,,,4be497f82468c9283901ff42
39,TD Bank Financial Group,ATM,49.286433,-123.121345,1055 Dunsmuir St,CA,btwn Dunsmuir & Pender St. (Bentall Centre 4),"1055 Dunsmuir St (btwn Dunsmuir & Pender St. (Bentall Centre 4)), Vancouver BC V7X 1P3",Vancouver,V7X 1P3,BC,,,4ad0da92f964a5206dda20e3
40,TD Bank Financial Group,ATM,49.285909,-123.140201,1690 Davie St,CA,Bidwell St,"1690 Davie St (Bidwell St), Vancouver BC V6G 1V9",Vancouver,V6G 1V9,BC,,,564a528e498ec0fffbc90e49
41,TD Bank Financial Group,ATM,49.278631,-123.129196,1200 Burrard St,CA,at Davie St,"1200 Burrard St (at Davie St), Vancouver BC V6Z 2C7",Vancouver,V6Z 2C7,BC,,,4aaae760f964a520f55720e3
42,TD Bank Financial Group,ATM,49.263953,-123.179434,3396 Broadway W,CA,at Waterloo St.,"3396 Broadway W (at Waterloo St.), Vancouver BC V6R 2B2",Vancouver,V6R 2B2,BC,,,4b58dec8f964a520f66f28e3
43,TD Bank Financial Group,ATM,49.282293,-123.107362,109 Hastings St W,CA,Abbott St,"109 Hastings St W (Abbott St), Vancouver BC V6B 1H4",Vancouver,V6B 1H4,BC,,,4b6dfbd9f964a52020a12ce3
44,RBC Royal Bank,ATM,49.281317,-123.056892,2381 Hastings St E,CA,at Nanaimo St.,"2381 Hastings St E (at Nanaimo St.), Vancouver BC V5L 1V6",Vancouver,V5L 1V6,BC,,,4c1d31b5eac020a1bbd147c2
45,TD Bank Financial Group,ATM,49.245791,-123.065651,1995 Kingsway,CA,Victoria,"1995 Kingsway (Victoria), Vancouver BC V5N 2T1",Vancouver,V5N 2T1,BC,,,4b821d01f964a520d7ca30e3
46,RBC Royal Bank,ATM,49.264394,-123.16804,2490 MacDonald St,CA,,"2490 MacDonald St, Vancouver BC V6K 3Z1",Vancouver,V6K 3Z1,BC,,,4c00451292a6c9289cf343e2
47,RBC Royal Bank,ATM,49.281029,-123.099385,400 Main St,CA,at E Hastings St,"400 Main St (at E Hastings St), Vancouver BC V6A 2T5",Vancouver,V6A 2T5,BC,,,4be313c4d27a20a1202c915b
48,TD Bank Financial Group,ATM,49.28054,-123.099424,450 Main St,CA,at E. Pender St.,"450 Main St (at E. Pender St.), Vancouver BC V6A 2T4",Vancouver,V6A 2T4,BC,,,4bccaeb2b6c49c741e319491
49,TD Bank Financial Group,ATM,49.270602,-123.106934,1689 Manitoba St,CA,at 1st Avenue,"1689 Manitoba St (at 1st Avenue), Vancouver BC V5Y 0B8",Vancouver,V5Y 0B8,BC,,,4d6d1a1fcf7e41bdd7b48285
