,name,categories,latitude,longitude,Postal Code,locality,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
0,West Coast Express - Waterfront Station,Train Station,49.286005,-123.111816,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
15,Bombardier Transportation Canada Inc,Train Station,49.27566,-123.118803,V6B,Burnaby,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
30,Waterfront Canada Line SkyTrain Station,Train Station,49.285665,-123.111787,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
60,Waterfront Station,Train Station,49.285758,-123.111714,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
75,Yaletown - Roundhouse SkyTrain Station,Train Station,49.274594,-123.121875,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
90,Stadium - Chinatown SkyTrain Station,Train Station,49.280481,-123.108992,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
105,SkyTrain-Waterfront,Train Station,49.285572,-123.11186,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
120,T&T Supermarket,Supermarket,49.279935,-123.108135,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
135,Aburi To-Go by Minami,Supermarket,49.275299,-123.120475,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
150,Choices Markets,Supermarket,49.275737,-123.124244,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
165,H Mart,Supermarket,49.280467,-123.11897,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
180,Nesters Market,Supermarket,49.282576,-123.107386,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
195,Market Place IGA,Supermarket,49.280117,-123.117561,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
210,Harbour Centre,Mall,49.284708,-123.111949,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
225,Vancouver Centre Mall,Mall,49.282063,-123.117808,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
240,International Village Shopping,Mall,49.280244,-123.106701,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
255,Cineplex Cinemas,Mall,49.2803,-123.106705,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
270,Pacific Central Station (XEA),Train Station,49.273708,-123.098032,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
285,The Canadian Prestige Lounge,Train Station,49.273744,-123.097954,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
300,"Pacific Central Station, Vancouver, Bc Canada",Train Station,49.273719,-123.097627,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
315,Via Rail,Train Station,49.273765,-123.098037,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
330,Central Station,Train Station,49.27376,-123.097793,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
345,Rocky Mountaineer Railtours,Train Station,49.274161,-123.09807,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
360,Rocky Mountaineer Vancouver Station,Train Station,49.268529,-123.08591,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
375,Main Street – Science World SkyTrain Station,Train Station,49.273117,-123.100334,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
405,Chevron,Gas Station,49.269349,-123.077624,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
420,Sunrise Market,Supermarket,49.282928,-123.097437,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
435,Finch's Market,Supermarket,49.278582,-123.093335,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
450,Dalina,Supermarket,49.278744,-123.100002,V6A,Vancouver,"Strathcona, Chinatown, Downtown Eastside",2,Train Station,ATM,Supermarket,Gas Station,Mall
472,Vancouver's Downtown Historic Railway,Train Station,49.268634,-123.137588,V6H,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
487,Esso,Gas Station,49.248851,-123.128031,V6H,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
517,Broadway & Hemlock Esso,Gas Station,49.263733,-123.135709,V6H,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
532,Oak Street Mohawk,Gas Station,49.249001,-123.127963,V6H,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
547,ASAP Pilot Cars,Train Station,49.261983,-123.144723,V6J,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
